won,drawn,lost,GF,GA,GD,points,WF,DF,LF,winner
5,5,10,17,33,-16,20,0,3,2,-1
6,1,13,21,42,-21,19,2,0,3,-1
4,6,10,15,32,-17,18,1,1,3,-1
5,2,13,13,29,-16,17,1,1,3,-1
3,6,11,19,30,-11,15,0,2,3,-1
3,5,12,15,33,-18,14,1,3,1,-1
14,4,1,41,14,27,46,3,1,1,1
13,4,2,41,17,24,43,4,1,0,-1
10,6,3,33,19,14,36,3,2,0,-1
10,3,6,32,15,17,33,2,1,2,-1
9,6,4,34,23,11,33,3,1,1,-1
9,4,6,30,23,7,31,2,1,2,-1
9,4,6,24,24,0,31,3,2,0,-1
8,4,7,26,25,1,28,2,2,1,-1
8,4,7,24,23,1,28,2,0,3,-1
7,5,7,22,28,-6,26,2,0,3,-1
7,4,8,21,23,-2,25,3,1,1,-1
5,6,8,29,31,-2,21,1,0,4,-1
5,6,8,11,22,-11,21,1,2,2,-1
3,11,5,16,27,-11,20,1,3,1,-1
5,3,11,21,34,-13,18,2,1,2,-1
4,5,10,18,28,-10,17,1,1,3,-1
3,7,9,18,26,-8,16,1,1,3,-1
3,7,9,20,30,-10,16,0,3,2,-1
3,7,9,14,29,-15,16,1,1,3,-1
3,4,12,17,31,-14,13,1,0,4,-1
12,3,4,33,18,15,39,4,0,1,-1
11,6,2,37,25,12,39,3,1,1,1
11,3,5,37,20,17,36,2,1,2,-1
9,8,2,33,15,18,35,3,1,1,-1
9,4,6,23,16,7,31,2,3,0,-1
8,6,5,22,16,6,30,0,2,3,-1
8,6,5,22,22,0,30,2,1,2,-1
7,8,4,28,23,5,29,1,4,0,-1
8,5,6,24,20,4,29,3,1,1,-1
8,5,6,20,19,1,29,3,1,1,-1
6,8,5,35,28,7,26,1,2,2,-1
6,6,7,26,23,3,24,1,1,3,-1
6,5,8,18,24,-6,23,1,2,2,-1
5,5,9,23,29,-6,20,1,2,2,-1
5,5,9,22,32,-10,20,2,1,2,-1
5,5,9,22,34,-12,20,3,1,1,-1
4,7,8,16,24,-8,19,1,2,2,-1
4,5,10,19,34,-15,17,2,1,2,-1
3,3,13,19,38,-19,12,0,0,5,-1
1,5,13,15,34,-19,8,0,3,2,-1
16,1,2,42,13,29,49,5,0,0,1
13,4,2,46,21,25,43,4,1,0,-1
12,4,3,41,19,22,40,3,0,2,-1
11,6,2,37,14,23,39,4,0,1,-1
12,3,4,39,21,18,39,3,0,2,-1
10,6,3,29,19,10,36,5,0,0,-1
7,6,6,25,23,2,27,2,1,2,-1
7,5,7,25,23,2,26,2,0,3,-1
6,6,7,19,22,-3,24,2,1,2,-1
7,3,9,26,31,-5,24,2,0,3,-1
7,2,10,21,29,-8,23,3,0,2,-1
6,4,9,23,33,-10,22,3,1,1,-1
6,4,9,23,34,-11,22,1,1,3,-1
5,6,8,22,32,-10,21,0,2,3,-1
5,5,9,24,31,-7,20,2,1,2,-1
4,6,9,17,22,-5,18,1,0,4,-1
4,4,11,29,35,-6,16,0,2,3,-1
4,2,13,17,35,-18,14,1,0,4,-1
3,4,12,16,41,-25,13,0,2,3,-1
3,3,13,21,44,-23,12,1,0,4,-1
